rep,mes,mk1,mk2,mk3,mk4,mutr,muta,mut_sp1,mut_sp2
98,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.1295e-07,8.01629e-07
99,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.14559e-07,3.47173e-07
0,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.50361e-07,9.09528e-07
1,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.41967e-07,1.37347e-07
2,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.53782e-07,6.02721e-07
3,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.07402e-07,9.99165e-07
4,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.54773e-07,6.57586e-07
5,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.86433e-07,1.11995e-07
6,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.94122e-07,3.3042e-07
7,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.50234e-07,1.12707e-07
8,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.84527e-07,1.11281e-07
9,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.70364e-07,3.79431e-07
10,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.79625e-07,6.93003e-07
11,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.8587e-07,3.97218e-07
12,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.9887e-07,8.0579e-07
13,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.27421e-07,9.83002e-07
14,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.53276e-07,9.40985e-07
15,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.66551e-07,8.32734e-07
16,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.81718e-07,9.85507e-07
17,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.4316e-07,8.77125e-07
18,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.84419e-07,9.06662e-07
19,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.41165e-07,7.49682e-07
20,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.60291e-07,3.29796e-07
21,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.70902e-07,3.93703e-07
22,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.13435e-07,8.537e-07
23,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.5312e-07,3.59043e-07
24,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.22821e-07,5.11381e-07
25,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.80066e-07,3.13169e-07
26,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.79241e-07,2.69275e-07
27,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.77103e-07,4.34279e-07
28,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.33813e-07,6.0637e-07
29,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.45261e-07,9.08947e-07
30,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.23579e-07,9.44053e-07
31,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.09387e-07,1.37217e-07
32,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.7654e-07,2.79793e-07
33,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.63967e-07,3.57291e-07
34,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.81915e-07,6.78406e-07
35,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.60287e-07,3.26378e-07
36,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.09696e-07,8.79389e-07
37,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.83722e-07,7.44632e-07
38,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.82067e-07,5.61114e-07
39,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.68814e-07,4.18709e-07
40,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.00198e-07,4.98592e-07
41,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.05746e-07,1.25919e-07
42,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.58722e-07,8.23773e-07
43,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.98365e-07,2.36986e-07
44,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.21666e-07,7.68428e-07
45,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.36947e-07,9.71686e-07
46,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.56215e-07,5.59895e-07
47,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.12553e-07,6.17552e-07
48,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.55584e-07,9.40174e-07
49,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.16538e-07,7.22907e-07
50,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.38549e-07,4.39875e-07
51,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.88969e-07,7.14537e-07
52,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.59493e-07,6.55708e-07
53,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.95503e-07,9.60672e-07
54,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.55758e-07,1.34347e-07
55,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.08235e-07,7.72178e-07
56,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.15148e-07,4.77095e-07
57,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.04435e-07,4.90461e-07
58,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.66289e-07,4.79739e-07
59,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.40285e-07,9.90938e-07
60,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.79501e-07,6.51453e-07
61,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.38946e-07,7.75096e-07
62,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.37485e-07,2.52317e-07
63,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.21682e-07,8.03587e-07
64,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.01184e-07,5.75358e-07
65,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.18473e-07,8.41003e-07
66,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.1428e-07,7.94531e-07
67,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.64883e-07,6.5028e-07
68,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.15474e-07,4.75269e-07
69,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.47934e-07,4.33141e-07
70,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.57178e-07,5.17418e-07
71,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.11782e-07,5.88204e-07
72,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.0829e-07,9.22311e-07
73,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.87275e-07,8.77231e-07
74,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.11308e-07,7.7132e-07
75,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.10381e-07,8.46109e-07
76,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.49746e-07,3.12682e-07
77,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.49294e-07,6.98596e-07
78,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.79026e-07,6.21944e-07
79,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.34431e-07,8.80344e-07
80,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.39733e-07,8.68631e-07
81,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.68003e-07,5.55061e-07
82,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.37116e-07,4.58217e-07
83,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.41173e-07,5.11085e-07
84,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.21552e-07,5.17273e-07
85,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.81827e-07,6.53706e-07
86,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.01948e-07,4.10923e-07
87,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.29226e-07,1.48212e-07
88,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.87254e-07,2.43328e-07
89,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.17054e-07,6.56341e-07
90,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.61107e-07,8.28535e-07
91,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.4999e-07,7.83145e-07
92,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.6966e-07,5.42423e-07
93,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.46865e-07,2.05058e-07
94,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.48522e-07,5.19667e-07
95,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.16306e-07,7.35861e-07
96,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.60467e-07,1.53944e-07
97,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.12898e-07,6.50683e-07
98,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.84087e-07,8.38819e-07
99,2,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.7211e-07,2.80767e-07
0,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.51423e-07,3.54538e-07
1,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.06546e-07,9.34955e-07
2,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.84432e-07,1.44685e-07
3,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.51535e-07,1.98915e-07
4,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.35283e-07,1.08131e-07
5,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.60438e-07,5.08507e-07
6,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.25852e-07,2.26909e-07
7,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.56737e-07,9.30251e-07
8,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.9694e-07,7.7675e-07
9,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.69147e-07,5.44213e-07
10,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.11228e-07,6.93173e-07
11,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.92865e-07,1.64773e-07
12,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.80077e-07,7.65712e-07
13,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.87508e-07,6.17928e-07
14,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.92281e-07,6.91976e-07
15,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.26036e-07,1.21551e-07
16,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.99313e-07,2.08672e-07
17,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.83023e-07,3.2067e-07
18,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.78423e-07,4.84369e-07
19,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.17401e-07,3.16303e-07
20,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.55244e-07,3.09124e-07
21,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.31855e-07,1.48018e-07
22,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.49254e-07,7.18629e-07
23,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.31739e-07,1.78784e-07
24,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.88142e-07,3.91661e-07
25,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.64867e-07,6.06288e-07
26,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.72329e-07,9.35404e-07
27,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.73376e-07,9.70757e-07
28,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.98834e-07,2.6333e-07
29,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.41222e-07,4.52976e-07
30,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.54853e-07,3.86857e-07
31,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.91949e-07,1.01362e-07
32,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.99813e-07,9.03241e-07
33,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.60214e-07,5.84558e-07
34,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.45969e-07,1.66934e-07
35,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.88708e-07,5.55475e-07
36,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.01459e-07,4.59909e-07
37,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.10151e-07,8.27691e-07
38,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.46242e-07,2.9412e-07
39,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.12238e-07,2.31604e-07
40,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.34997e-07,9.52906e-07
41,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.9584e-07,5.41692e-07
42,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.46677e-07,2.66528e-07
43,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.53823e-07,9.22468e-07
44,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.87108e-07,4.57348e-07
45,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.96533e-07,6.24983e-07
46,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.65432e-07,4.69482e-07
47,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.31793e-07,5.61281e-07
48,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.91876e-07,9.39036e-07
49,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.53695e-07,1.72993e-07
50,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.20622e-07,5.55272e-07
51,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.06566e-07,4.16665e-07
52,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.31564e-07,3.74049e-07
53,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.39436e-07,9.91743e-07
54,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.37099e-07,5.0767e-07
55,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.50915e-07,9.6768e-07
56,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.20971e-07,7.599e-07
57,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.01486e-07,3.77841e-07
58,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.55214e-07,5.81521e-07
59,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.6403e-07,1.12104e-07
60,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.81422e-07,8.1642e-07
61,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.40929e-07,6.05006e-07
62,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.55849e-07,4.50226e-07
63,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.97619e-07,9.17301e-07
64,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.87488e-07,5.08773e-07
65,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.93037e-07,5.14669e-07
66,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.16389e-07,7.8544e-07
67,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.86809e-07,4.87028e-07
68,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.05241e-07,5.75739e-07
69,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.40332e-07,9.36649e-07
70,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.99653e-07,1.84526e-07
71,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.381e-07,9.58305e-07
72,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.83775e-07,4.62849e-07
73,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.0713e-07,4.45407e-07
74,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.81068e-07,4.43626e-07
75,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.54475e-07,6.46566e-07
76,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.63759e-07,5.41183e-07
77,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.24025e-07,3.7532e-07
78,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.21644e-07,6.63122e-07
79,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.88452e-07,4.47799e-07
80,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.87149e-07,2.35109e-07
81,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.24956e-07,3.9474e-07
82,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.14447e-07,8.42511e-07
83,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.93355e-07,1.77793e-07
84,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.3346e-07,4.3584e-07
85,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.08814e-07,9.73894e-07
86,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.10056e-07,2.07437e-07
87,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.77145e-07,5.36026e-07
88,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.27577e-07,4.48541e-07
89,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.98238e-07,4.32774e-07
90,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.31185e-07,2.21927e-07
91,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.05203e-07,2.08017e-07
92,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.78773e-07,1.40223e-07
93,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.68771e-07,6.05118e-07
94,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.04353e-07,5.06901e-07
95,3,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.79353e-07,4.77871e-07
